"종류","문제","보기1","보기2","보기3","보기4","정답","해설"
"mcq","1958년부터 남극과 하와이 마우나로아 관측소에서 측정하고 있는 이산화탄소 농도를 그래프로 만든 것으로, 처음 이산화탄소 농도를 측정한 사람의 이름을 따서 지은 이 곡선은 무엇일까요?","하트곡선","킬러곡선","킬링곡선","캘린더곡선","킬링곡선","찰스 데이비드 킬링은 1958년부터 매일 이산화탄소를 측정해왔으며, 매년 증가하는 것을 발견하였다."
"mcq","기상재해로부터 국민의 안전을 위해 날씨, 기후변화 과학정보 등 국가기상업무를 관장하고 지원하는 우리나라 국가기관은 무엇일까요?","산림청","기상청","환경부","여성가족부","기상청","기상청에서는 날씨, 기후변화 과학정보 등 국가기상업무를 관장하고, 지원하는 국가기관이다."
"short","지구는 여러 종류의 기체로 둘러싸여 있는데 이러한 두꺼운 공기층을 무엇이라고 할까요?","","","","","대기","우리는 이러한 두꺼운 공기층을 대기라고 한다. 이러한 대기는 질소 78%, 산소 21%, 이산화탄소 0.03% 등으로 구성되어 있다."
"short","일종의 막과 같은 역할을 하여 지구의 온도를 따뜻하게 유지하는 기체를 무엇이라고 할까요?","","","","","온실가스","온실가스란 일종의 막과 같은 역할을 하여 지구 밖으로 날아가는 에너지를 붙잡아서 흡수하기 때문에 지구를 따뜻하게 지켜준다."
"short","한 여름밤에 제일 낮은 기온이 25℃ 이상인 무더위로 잠들기 어려운 밤을 무엇이라고 할까요?","","","","","열대야","열대야는 농촌보다 도시 지역에서 많이 나타나는데 사람, 건물, 공장 등에서 인공 열이 발생하기 때문이다."
"short","조선 시대에 강우량 분포를 측정하던 기구로, 조선 세종 때 처음 제작하여 전국에 보급 시행하였으며 조선 시대 전반에 걸쳐 활용되었던 우량 관측기구의 이름은 무엇일까요?","","","","","측우기","1441년 세종 23년에 발명된 세계 최초의 우량계로서 이탈리아보다 198년이나 먼저 만들어졌다."
"short","인간 활동이나 자연적인 원인으로 오랜 기간 동안 유지되어 왔던 기상현상이 평균 상태를 벗어나는 것을 가리키는 말은 무엇일까요?","","","","","기후변화","자연적인 기후변동의 범위를 벗어나 더 이상 평균적인 상태로 돌아오지 않는 기후체계의 변화를 기후변화라고 한다."
"short","최근 지구온난화의 원인 중 하나인 메탄 주범으로 대두된 이 동물은 무엇일까요? 이 동물이 내뿜는 메테인은 하루에 800L에서 1000L에 달한다고 한다.","","","","","소","소가 소화하는 과정에서 많은 양의 메테인을 배출한다. 전 세계 온실가스의 18%는 가축에게서 나오는 메탄이다."
"short","온실가스 배출을 줄이기 위한 구체적인 계획과 의무들을 명기한 기후변화협약의 결과로 1997년 일본에서 채택되었고, 이후 파리협정이 이것을 대체하게 되었다. 이것은 무엇일까요?","","","","","교토의정서","교토의정서는 산업화된 국가들의 의무 감축목표를 설정하고 있으며, 구체적이지 못했던 온실가스 목표량을 구체화 한 파리협정이 출범하기 전까지 지속되었다."
"short","기상현상 중 하나로 순우리말로 누리라고도 하며 대기가 불안정하여 적란운에서 떨어지는 불규칙한 얼음 알갱이나 덩어리는 무엇일까요?","","","","","우박","우박은 하늘에서 눈의 결정 주위에 차가운 물방울이 얼어붙어 땅 위로 떨어지는 얼음덩이를 말한다."
"short","엘니뇨의 반대 현상으로 여자아이라는 뜻을 가지고 있으며 중동 태평양의 해수면 온도가 평상시보다 낮아지고 무역풍이 강해지는 현상을 의미하는 이 단어는 무엇일까요?","","","","","라니냐","엘리뇨와 라니냐는 대기와 해양의 흐름으로 지구 기상 기후에 영향을 미친다."
"short","프랑스 하원은 기후위기에 이 배출량이 높은 이동수단인 비행기 운항을 축소하고자 열차로 2시간 30분 이내로 이동 가능한 거리의 항공편을 금지하는 법안을 통과시켰다. 여기서 감소시키고자 한 것은 무엇일까요?","","","","","탄소배출","기차에 비교했을 때 비행기의 탄소 배출량은 3배에 달한다."
"ox","탄소 발자국은 개인, 단체가 직, 간접적으로 발생시키는 온실가스의 총량을 의미한다.[cite: 1]","O","X","","","O","탄소발자국은 일상 생활에서 사용하는 연료, 전기, 용품 등이 모두 포함하여 발생하는 모든 온실가스의 총량을 의미한다.[cite: 1]"
"ox","탄소가 형태를 바꾸면서 기후시스템 내의 지권, 대기권, 수권, 생물권 사이를 이동하며 순환하는 것을 탄소 순환이라고 한다.[cite: 1]","O","X","","","O","탄소 순환은 지구 생태계의 균형을 유지하는데 필수적인 역할을 한다.[cite: 1]"
"ox","사막화란 가뭄, 건조화 등 자연적 요인과 관계, 산림벌채, 환경오염 등 인위적 요인이 복합적으로 작용하여 토지가 사막환경화 되는 현상을 말한다.[cite: 1]","O","X","","","X","유엔의 정의에 의하면 사막화란 '토지의 잠재된 생물 생산력이 저하되거나 파괴돼 그 결과 사막으로 변해 가는 현상'을 말한다.[cite: 1]"
"ox","도시열섬현상이란 도심 번화가 지역의 기온이 주변 교외 지역에 비해 더 높게 나타나는 현상이다.[cite: 1]","O","X","","","O","도시열섬현상은 인구의 증가, 콘크리트 피복의 증가, 자동차 통행의 증가 등의 영향으로 도시 상공의 기온이 다른 지역보다 높아지는 현상을 말한다.[cite: 1]"
"ox","연무는 공기 중의 먼지나 연기 등으로 시정이 흐려진 것을 말한다. 스모그와 같은 뜻으로 쓰인다.[cite: 1]","O","X","","","X","연무와 스모그는 비슷한 현상이지만 스모그는 주로 공해의 뜻으로 쓰인다. 스모그는 연기와 안개가 혼합되어 있거나 오염된 안개로 규정하고 있다.[cite: 1]"
"ox","해양산성화란 해수가 대기로부터 이산화탄소를 흡수하여 pH값이 높아지는 것이다.[cite: 1]","O","X","","","X","해양산성화는 해수가 대기로부터 이산화탄소를 흡수하여 pH값이 낮아지는 것이다.[cite: 1]"
"ox","폭염경보는 일 최고 체감온도 35℃ 이상인 상태가 2일 이상 지속될 것으로 예상될 때 발령된다.[cite: 1]","O","X","","","O","폭염경보는 일 최고 체감온도 35℃ 이상이 2일 이상 지속될 것으로 예상될 때 발표한다.[cite: 1]"
"ox","지구온난화로 폭풍과 홍수가 자주 발생하게 되는 반면, 가뭄으로 인한 피해는 줄어들게 되었다.[cite: 1]","O","X","","","X","세계적으로 연강수량은 증가되고 있으나 지역에 따라 가뭄 및 홍수와 같은 서로 상반된 강수 현상이 심화되고 있다.[cite: 1]"
"ox","축축한 공기와 건조한 공기 둘 중에서 축축한 공기가 더 무겁다.[cite: 1]","O","X","","","X","동일한 온도, 부피일 때 질소와 산소로 이루어진 건조공기보다 수소와 산소로 이루어진 축축한(습한) 공기가 분자량이 더 적어서 더 가볍다.[cite: 1]"
"ox","쓰레기 종량제는 전체 쓰레기 발생량을 줄일 목적으로, 배출되는 쓰레기의 양에 따라 요금을 부과하는 제도다. 세계에서 이 제도를 제일 먼저 실시한 나라는 우리나라 이다.[cite: 1]","O","X","","","X","우리나라는 1995년부터 세계 최초로 쓰레기 종량제를 실시하여 폐기물 관리 정책 전환의 계기를 마련했다.[cite: 1]"
"ox","지구온난화를 막기 위해서는 푸드 마일리지가 낮은 식품을 구입해야 한다.[cite: 1]","O","X","","","O","푸드 마일리지가 높으면 운송 과정에서 탄소 배출량이 많은 것을 의미하므로 지구온난화를 막기 위해서 푸드 마일리지가 낮은 제품을 구입해야 한다.[cite: 1]"
"ox","아침에 안개가 끼면 그날은 흐릴 가능성이 높다.[cite: 1]","O","X","","","X","아침에 안개가 끼는 날은 맑은 날이 많다. 맑은 날씨로 이어진다.[cite: 1]"
"ox","기후변화로 인한 연평균기온의 상승이나 강수량의 변화는 지역별로 다르다.[cite: 1]","O","X","","","O","지구온난화로 인한 온도상승은 열용량이 큰 바다보다 육지에서 더 크며, 저위도보다는 북극에서 2~3배 높게 나타난다.[cite: 1]"
"ox","해수면 높이의 상승은 지역적으로 다르며, 모든 시나리오에서 2100년까지 계속 상승할 것으로 전망된다.[cite: 1]","O","X","","","O","해양은 큰 열용량과 느린 순환으로 수천년까지 해수면 상승의 영향이 계속될 것으로 전망된다.[cite: 1]"
"ox","맑은 날 해안가에서는 하루를 주기로 지표면의 기온차에 의해 국지적 순환인 해륙풍이 발생한다. 낮에는 육지의 냉각으로 더 따뜻한 바다의 공기가 상승하여 육지에서 바다로 부는 육풍이 관측된다.[cite: 1]","O","X","","","X","낮에는 해풍, 밤에는 육풍이 분다. 육풍은 밤에 육지의 냉각으로 따뜻한 바다의 공기가 상승하여 육지에서 바다로 부는 바람이다.[cite: 1]"
"ox","바람과 해류에 의한 열의 전달은 위도별 에너지 불균형을 해소시키는 데 전혀 영향을 주지 않는다.[cite: 1]","O","X","","","X","바람과 해류에 의한 열의 전달이 위도별 에너지 불균형을 해소시켜 준다.[cite: 1]"
"ox","우리나라는 기후변화로 인하여 최근 30년의 여름 계절 지속일이 과거 30년에 비해 길어졌다.[cite: 1]","O","X","","","O","우리나라의 여름은 계절 지속일은 과거 30년 98일에서 최근 30년은 118일로 20일 길어졌다.[cite: 1]"
"ox","일기예보에서는 하늘의 상태를 표현할 때 '맑음'은 구름의 양이 9~10할의 상태일 때를 말한다.[cite: 1]","O","X","","","X","'맑음'은 구름의 양이 0~5할의 상태를, '흐림'은 구름의 양이 9~10할의 상태일 때를 말한다.[cite: 1]"
"ox","지구의 기온이 상승하여 빙하의 면적이 줄어드는 시기를 간빙기라 한다.[cite: 1]","O","X","","","O","지구 빙하의 면적이 줄어드는 시기를 간빙기라 한다.[cite: 1]"
"ox","지구의 기온 상승 원인은 온실가스에 의한 온실효과만 있다.[cite: 1]","O","X","","","X","지구의 기온상승은 온실효과 외 세차운동, 공전궤도 이심률 변화 등 지구 외적인 요인도 있다.[cite: 1]"
"mcq","시시각각 변하는 우리의 기분과 같이 매일 혹은 짧은 시간을 단위로 변하는 기상상태는 무엇일까요?[cite: 1]","날씨","기후","이상기후","지구온난화","날씨","날씨는 기상과 같은 말로 매일, 혹은 짧은 시간 동안 시시각각 변화하는 기상상태를 의미한다.[cite: 1]"
"mcq","기온, 강수량 등의 기후요소가 평년에 비해 현저히 높거나 낮은 수치를 나타내는 극한 현상은 무엇일까요?[cite: 1]","이상기후","기후변화","기후변동","기후특성","이상기후","세계기상기구에서 90퍼센타일 초과 또는 10퍼센타일 미만의 범위를 이상기후로 분류하고 있다.[cite: 1]"
"mcq","다음 중 날씨의 종류가 아닌 것은 무엇일까요?[cite: 1]","비","눈","열대기후","안개","열대기후","기후는 보통 30년 이상의 오랜 기간에 걸쳐 나타나는 일반적인 형태를 말한다. 열대기후는 기후의 종류다.[cite: 1]"
"mcq","오랜 기간에 걸쳐 나타나는 날씨 패턴으로, 30년 정도의 평균적인 날씨는 무엇일까요?[cite: 1]","날씨","지구온난화","기후변화","기후","기후","기후는 몇십 년처럼 긴 시간 동안 발생하는 대기의 평균적 상태를 의미한다.[cite: 1]"
"mcq","다음 중 기후의 종류가 아닌 것은 무엇일까요?[cite: 1]","열대기후","온대기후","냉대기후","태풍기후","태풍기후","태풍은 날씨 현상의 한 종류로, 열대지방의 뜨겁고 습한 바다에서 발생하며 폭우와 강풍을 동반한다.[cite: 1]"
"mcq","지구의 대기가 복사에너지를 흡수하여 지구의 온도를 높게 유지하는 현상은 무엇일까요?[cite: 1]","온실효과","이상기후","기후변화","해수면 상승","온실효과","대기 중의 수증기와 이산화탄소 등의 온실가스가 유리처럼 작용하여 표면 온도를 높게 유지하는 효과다.[cite: 1]"
"mcq","다음 중 온실효과를 일으키는 대표적인 온실가스가 아닌 것은 어느 것입니까?[cite: 1]","이산화탄소(CO2)","메탄(CH4)","산소(O2)","아산화질소(N2O)","산소(O2)","대표적인 온실가스에는 이산화탄소, 메탄, 아산화질소, 염화불화탄소 등이 있다.[cite: 1]"
"mcq","온실가스 증가 등으로 인해 지구의 온도가 지속적으로 상승하는 현상은 무엇일까요?[cite: 1]","열섬현상","엘니뇨","라니냐","지구온난화","지구온난화","지구가 과거의 평균 상태보다 점점 뜨거워져 온도가 지속적으로 상승하는 현상을 지구온난화라고 한다.[cite: 1]"
"mcq","온실가스 중 가장 많은 양을 차지하고 있는 기체는 무엇일까요?[cite: 1]","이산화탄소(CO2)","메탄(CH4)","산소(O2)","질소(N)","이산화탄소(CO2)","우리가 배출하는 온실가스의 양 중 가장 많은 양을 차지하고 있는 것이 이산화탄소이다.[cite: 1]"
"mcq","대기오염원이 아닌 것은 무엇일까요?[cite: 1]","자동차","화력 발전소","공장과 같은 산업시설","자전거","자전거","주요 대기오염원으로는 공장 등 산업시설과 자동차 배기가스가 있다.[cite: 1]"
"mcq","기후변화의 요인 중 자연적 요인이 아닌 것은 무엇일까요?[cite: 1]","태양에너지 변화","지구 공전 궤도 변화","화석연료의 사용","화산폭발","화석연료의 사용","자연적 원인에는 바닷물의 변화, 태양 주위를 도는 궤도 변화, 화산폭발 등이 있다. 화석연료는 인위적 요인이다.[cite: 1]"
"mcq","기후변화의 요인 중 인위적 요인이 아닌 것은 무엇일까요?[cite: 1]","온실가스 증가","화석연료의 사용","산림파괴","화산폭발과 지각변동","화산폭발과 지각변동","화산폭발은 화산재 등이 지표에 도달하는 태양에너지를 차단하여 일어나는 기후변화의 자연적 원인이다.[cite: 1]"
"mcq","다음 중 기후변화로 인해 나타나는 현상으로 옳지 않은 것은 무엇일까요?[cite: 1]","북극 빙하의 면적이 줄어들고 있다.","우리나라에서도 아열대 작물이 재배되고 있다.","태평양의 투발루라는 섬이 침수 위기에 놓여 있다.","아마존의 산림이 점점 넓어지고 있다.","아마존의 산림이 점점 넓어지고 있다.","기후변화로 폭염, 가뭄, 산불 등이 발생하고 있으며, 이러한 현상들은 전 세계 곳곳의 울창한 산림을 파괴하고 있다.[cite: 1]"
"mcq","다음 중 기후변화의 영향으로 변화하는 우리나라 생태계에 대한 설명으로 옳지 않은 것은 무엇일까요?[cite: 1]","우리나라 사과 재배지가 남하한다.","벚꽃 개화시기가 빨라지게 된다.","아열대 나비가 출현한다.","제주도에서 아열대 과일을 재배하게 된다.","우리나라 사과 재배지가 남하한다.","사과, 감귤, 대나무 등의 주산지가 차츰 북상하게 되었다. 사과의 주산지는 강원도 영월 등까지 북상하였다.[cite: 1]"
"mcq","북극 빙하가 녹아서 바다로 흘러가기 때문에 바다의 높이에 영향을 주고 있다. 이러한 현상은 무엇일까요?[cite: 1]","온실효과","해수면 상승","지구온난화","엘니뇨","해수면 상승","해수면 상승은 온도가 높아지면서 바닷물이 팽창하거나 빙하가 녹아서 바닷물의 높이가 상승하는 현상을 의미한다.[cite: 1]"
"mcq","다음 중 온난화로 인한 기후변화의 영향으로 나타날 수 있는 사례가 아닌 것은 무엇일까요?[cite: 1]","빙하가 녹아 북극곰과 펭귄의 수가 늘어난다.","제주도의 해수 온도가 증가하고 해수면도 높아진다.","대한민국에서 바나나 등의 아열대 작물들을 기를 수 있게 된다.","빈곤 취약인구와 물 부족 인구가 늘어난다.","빙하가 녹아 북극곰과 펭귄의 수가 늘어난다.","지구온난화로 인해 남극과 북극의 빙하가 녹게 되면서 펭귄과 북극곰이 생활 터전을 잃게 되어 그 수가 감소한다.[cite: 1]"
"mcq","세계 이상기후 발생에 관한 설명으로 옳은 것은 무엇일까요?[cite: 1]","이상기후는 미래에 일어날 이야기이다.","한 국가에서만 이상기후가 발생되고 있다.","현재까지 세계에서 이상기후가 나타나지 않았다.","동시다발적으로 전 세계에서 이상기후가 발생되고 있다.","동시다발적으로 전 세계에서 이상기후가 발생되고 있다.","지구온난화와 기후변동성의 증가로 전 세계적으로 이상기후 현상이 빈번하게 발생하고 있다.[cite: 1]"
"mcq","온실가스가 현재와 같이 배출되어 증가하는 경우 우리나라 기후변화 전망으로 옳지 않은 것은 무엇일까요?[cite: 1]","열대야 일수가 증가함","폭염일수 증가함","사계절이 뚜렷해짐","겨울 일수가 줄어듦","사계절이 뚜렷해짐","미래에는 여름이 늘어나고 겨울은 줄어들어 사계절이 사라지고 더운 여름이 계속될 수 있다.[cite: 1]"
"mcq","다음 중 온실가스 감축과 기후변화 적응의 예로 옳지 않은 것은 무엇일까요?[cite: 1]","태양열 에너지를 활용한다.","냉장고 문을 여닫는 횟수를 줄인다.","해수면 상승에 대비하여 방조제를 높인다.","더 많은 물건을 만들기 위해 산림을 없앤다.","더 많은 물건을 만들기 위해 산림을 없앤다.","산림을 파괴하면 이산화탄소 흡수량이 줄어들게 된다.[cite: 1]"
"mcq","기후변화가 점차 심화됨에 따라 기후변화 대응 및 적응 정책을 효율적으로 지원하기 위해 작성된 통일된 미래 기후전망 자료는 무엇일까요?[cite: 1]","기후재난 시나리오","탄소배출 시나리오","기후변화 시나리오","에어로졸 감축 시나리오","기후변화 시나리오","기상청은 인위적인 원인에 의해서 앞으로 일어날 기후변화를 예측하기 위해 기후변화 시나리오를 작성한다.[cite: 1]"
"short","기후시스템에 존재하는 각 과정들 사이에서 최초 과정의 결과가 두 번째 과정에 변화를 촉발하고 서로 영향을 미치는 상호작용 메커니즘을 무엇이라고 할까요?[cite: 1]","","","","","기후되먹임","기후되먹임에는 양의 되먹임과 음의 되먹임 두 가지 종류가 있다. 피드백이라고도 한다.[cite: 1]"
"short","이곳은 남위 60도부터 그 보다 더 남쪽인 지역을 의미한다. 세계에서 5번째로 큰 대륙이기도 하며 펭귄의 나라라고도 불리는 이곳은 어디일까요?[cite: 1]","","","","","남극","우리나라는 남극에 세종과학기지와 장보고과학기지를 건설하여 기후변화를 연구하고 있다.[cite: 1]"
"short","산호 조직에 내부공생하는 조류가 파괴됨으로써 산호가 색깔을 잃고 기저 골격인 흰색 석회질이 드러나는 현상을 무엇이라고 할까요?[cite: 1]","","","","","백화현상","산호가 하얀색으로 변하는 현상을 산호 백화현상이라고 한다. 수온의 급격한 상승 등으로 인해 발생한다.[cite: 1]"
"short","이 현상은 이른 봄철의 날씨가 꽃이 피는 것을 시샘하듯 일시적으로 추워지는 기상현상이다. 우리나라의 봄철에만 나타나는 이 현상의 이름은 무엇일까요?[cite: 1]","","","","","꽃샘추위","봄이 되면 일시적으로 시베리아 기단이 강화되면서 발생하는 이상 저온현상이다.[cite: 1]"
"short","이것은 위도 20도 내외의 지역에서 1년 내내 일정하게 부는 바람이다. 북반구에서는 북동풍, 남반구에서는 남동풍이 부는 바람의 이름은 무엇일까요?[cite: 1]","","","","","무역풍","위도 30도 부근의 아열대 고압대에서 적도를 향해 안정되게 부는 바람을 무역풍이라고 한다.[cite: 1]"
"short","이것은 사람의 육안에는 보이지 않습니다. 파장은 가시광선보다 짧고 X선보다 길며 오존층이 막아주고 있는 이것은 무엇일까요?[cite: 1]","","","","","자외선","우리몸이 자외선에 과도하게 노출되면 일광화상, 피부암 등의 영향을 받을 수 있다.[cite: 1]"
"short","이것은 1년 동안 계절에 따라 바뀌는 바람이다. 몬순이라고도 하며 주로 동아시아, 동남아시아 지역에서 뚜렷하게 나타나는 이것은 무엇일까요?[cite: 1]","","","","","계절풍","대륙과 해양의 비열 차이로 발생하는 계절풍은 여름에는 바다에서 육지쪽으로 불게 된다.[cite: 1]"
"short","이것은 다양한 생명이 유기적 복합체를 이루는 상태를 말한다. 생물종의 다양성, 생태계의 다양성 등을 총체적으로 지칭하는 말은 무엇일까요?[cite: 1]","","","","","생물다양성","육상 생태계, 해양과 기타 수생 생태계와 이들의 복합 생태계를 포함하는 모든 원천에서 발생한 생물체의 다양성을 말한다.[cite: 1]"
"short","이것은 세계 물 문제를 논의하기 위해 3년마다 개최되는 국제회의 이다. 세계 물의 날(3월 22일)을 전후해 개최되는 이것은 무엇일까요?[cite: 1]","","","","","세계물포럼","점점 많은 문제를 낳고 있는 물 문제의 해결을 위해 제창되어 창설됐다.[cite: 1]"
"short","2015년 프랑스 파리에서 개최된 제21차 기후변화당사국 총회에서 교토의정서 이후 적용될 이것에 대한 합의문을 채택하였다. 이것은 무엇일까요?[cite: 1]","","","","","신기후체제","신기후체제란 선진국과 개도국 모두에 적용될 수 있는 체제를 지향하는 것으로 파리협정이 발효되었다.[cite: 1]"
"ox","우리나라 한여름에는 주로 온대저기압의 영향으로 날씨가 자주 변한다.[cite: 1]","O","X","","","X","한여름에는 북태평양고기압의 영향으로 덥고 습한 날씨가 주로 나타난다.[cite: 1]"
"ox","하늘 가장 높은 곳에 형성되는 구름인 권운은 강한 비를 내리기 때문에 많은 피해를 발생시킨다.[cite: 1]","O","X","","","X","가장 높은 곳에 만들어지는 권운은 수증기량이 적어 비가 거의 내리지 않는다.[cite: 1]"
"ox","습도나 바람 등의 영향을 받아 사람이 체감적으로 느끼는 더위와 추위 정도를 수량화한 추상적인 온도를 화씨온도라 한다.[cite: 1]","O","X","","","X","체감온도는 계절에 따라 온도, 습도, 풍속의 영향으로 실제 기온과 다르게 신체 체감상 느끼는 온도이다.[cite: 1]"
"ox","기후변화로 인하여 연평균 기온은 점점 상승하고, 지구 평균 강수량은 점점 감소하여 전 세계적으로 식수 부족이 심해지게 된다.[cite: 1]","O","X","","","X","연평균 기온은 점점 상승하게 되나, 강수량은 물의 순환에 의해 지역마다 다양하게 나타나면서 홍수와 가뭄의 양극화가 심해지고 있다.[cite: 1]"
"ox","우리나라의 여름철 기압 배치는 남고북저형으로 남동 계절풍이 불어오며, 무더위, 폭염, 열대야, 태풍과 같은 날씨를 보인다.[cite: 1]","O","X","","","O","우리나라 여름철의 전형적인 기압 배치는 남고북저형이며, 덥고 습한 날씨를 보인다.[cite: 1]"
